He sat on the chair.	അവൻ കസേരയിൽ ഇരുന്നു	 അവൻ പാലത്തിൽ ഓടിച്ചു
There is some milk in the fridge.
She was hiding under the table.	 അവൾ മേശയുടെ കീഴിലായിരുന്നു
The cat jumped off the counter.	 പൂച്ചയ്ക്ക് കൌണ്ടർ വിട്ടിരുന്നു
He drove over the bridge.	 അവൻ പാലത്തിൽ ഓടിച്ചു
She lost her ring at the beach.	 അവൾ ബീച്ചിൽ അവളുടെ മോതിരം നഷ്ടപ്പെട്ടു
The book belongs to Anthony.	 ആൻറണി ആണ് ഈ പുസ്തകം
They were sitting by the tree.	 അവൻ പാലത്തിൽ ഓടിച്ചു	 അവർ മരത്തിൽ ഇരിക്കുകയായിരുന്നു
We are running in the gym today.	 ഇന്ന് ജിമ്മിൽ ഞങ്ങൾ പ്രവർത്തിക്കുന്നു	 ഞാൻ തെരുവിൽ നടന്നു
The sun is above the clouds.	 സൂര്യൻ മേഘങ്ങളേക്കാൾ മുകളിലാണ്
She lives near her workplace.
She drew the picture with a crayon.	 അവൾ ഒരു ചായത്തോടുകൂടിയ ചിത്രം വരച്ചു
He swam at the lake.	 അവൻ തടാകത്തിൽ നീന്തി
I walked down the street.	 ഞാൻ തെരുവിൽ നടന്നു
