Edward smiled at Bella.	എഡ്വേർഡ് ബെല്ലയിൽ പുഞ്ചിരിച്ചു	എഡ്വേഡ് ബെല്ലയുടെ താഴെ ഇരിക്കുന്നത്	എഡ്വേർഡ് ബെല്ലയിൽ പുഞ്ചിരിക്കാൻ സമയം ചെലവഴിക്കുന്നു
There is some water in the river.	നദിയിൽ കുറച്ച് വെള്ളം ഉണ്ട് 	നദിക്ക് കുറച്ച് വെള്ളം ഉണ്ട്
Andrew works during the day.	ആൻഡ്രൂ പകൽ സമയത്ത് പ്രവർത്തിക്കുന്നു	ആൻഡ്രൂ ഒരു ദിവസം മുഴുവൻ പ്രവർത്തിക്കുന്നു	ആൻഡ്രൂ എല്ലാ ദിവസവും പ്രവർത്തിക്കുന്നു
She lives near the tree.	അവൾ വൃക്ഷത്തിൻ അടുത്ത് താമസിക്കുന്നു	അവൾ വൃക്ഷത്തിൽ ജീവിക്കുന്നു	അവൾ വൃക്ഷത്തിൻ കീഴിൽ ജീവിക്കുന്നു	
A bird flew over the lake.	ഒരു പക്ഷി തടാകത്തിന് മുകളിലൂടെ പറക്കുന്നു	തടാകത്തിൽ ഒരു പക്ഷി	വെളുത്ത പക്ഷി തടാകത്തിൽ പതിച്ചു
The cat is under the chair.	പൂച്ച കസേര അടിയിൽ  ആണ്	പൂച്ച കസേരയിൽ ഇരുന്നു	പൂച്ച കസേര കീഴിൽ ആണ്
He smiled.	അവൻ പുഞ്ചിരിച്ചു	അവൻ പഞ്ചിരിച്ചിരുന്നു	അവൻ പുഞ്ചിരിക്കുന്നു
The car went through the tunnnel.	കാർ തുരങ്കത്തിലൂടെ കടന്നുപോയി	 കാർ ടണൽ വഴി കടന്നുപോയി	കാർ ടണൽ വഴി പോയി
He sat on the chair.	അവൻ കസേരയിൽ ഇരുന്നു	അവൻ കസേരയിൽ നിന്നു	അവൻ കസേരയിൽ കയറി
Rama drew the picture with a crayon.	രാമ ചായത്തോടുകൂടെ ചിത്രം വരയ്ക്കുന്നു	രാമ ഒരു ചിത്രത്തോടൊപ്പം കളിച്ചു	രാമ ചിത്രം ഒരു ചായത്തോടുകൂടിയാണ് വരക്കുക
